"ES.ID","lnVR.es","lnCVR.sv","direction","SE","parental","Study.ID","Study.name","Source","Cross.ID","Genus","spL.name","spS.name","species.pair","homologous","trait.type","Mn.spL","SD.spL","SE.spL","Mn.hybLS","SD.hybLS","SE.hybLS","Mn.hybSL","SD.hybSL","SE.hybSL","Mn.spS","SD.spS","SE.spS","Parents.spLF.spL","Parents.spLM.spL","Parents.spLF.hybLS","Parents.spLM.hybSL","Parents.spSF.hybSL","Parents.spSM.hybLS","Parents.spSF.spS","Parents.spSM.spS","N.spL","N.hybLS","N.hybSL","N.spS","reps.spL","reps.hybLS","reps.hybSL","reps.spS","Pheno.divergence","Reciprocal","Distribution","Source_distribution","taxa","souce_sex.determinaton","sex.determination","Hetero.sex","Genet.divergence","Survival.spL","Survival.hybLS","Survival.hybSL","Survival.spS","surv.relat.hybLS","surv.relat.hybSL","surv.File","surv.Source","surv.Study.name","comments","parentals","Novelty","sp1.name","sp2.name","Survival.sp1","Survival.hyb12","Survival.hyb21","Survival.sp2","surv.relat.hyb12","surv.relat.hyb21","insect"
"ES387",0.893322623321219,0.0648923444976077,"+",0.122565202733028,"Mother","s26","Tomaru&Oguma_1994","table1","Drosophila_triauraria_Drosophila_quadraria","Drosophila","Drosophila_triauraria","Drosophila_quadraria","Drosophila_triauraria_Drosophila_quadraria","Yes","sound",16.1,0.96,NA,14.9,0.37,NA,16.5,0.59,NA,15.6,0.68,NA,"7","7","9","9","6","6","5","5",210,9,6,150,NA,NA,NA,NA,-0.701954951658649,"Viable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-2.70719432035047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES389",1.05532723714432,0.126672240802676,"+",0.103857849474007,"Mother","s26","Tomaru&Oguma_1994","table1","Drosophila_quadraria_Drosophila_biauraria","Drosophila","Drosophila_biauraria","Drosophila_quadraria","Drosophila_quadraria_Drosophila_biauraria","Yes","sound",12.9,0.91,NA,13.9,0.28,NA,13.4,0.27,NA,11.1,0.64,NA,"10","10","5","5","10","10","5","5",300,5,10,150,NA,NA,NA,NA,-0.519356607946975,"Viable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-1.72779105618567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES390",0.207397947174073,0.00695282700014485,"+",0.106509966082125,"Mother","s26","Tomaru&Oguma_1994","table1","Drosophila_quadraria_Drosophila_subauraria","Drosophila","Drosophila_quadraria","Drosophila_subauraria","Drosophila_quadraria_Drosophila_subauraria","Yes","sound",11.1,0.64,NA,13.3,0.52,NA,NA,NA,NA,11.1,0.64,NA,"5","5","10~20","10~20",NA,NA,"10","10",150,140,NA,258,NA,NA,NA,NA,-0.750472523493085,"Inviable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-0.236946287233761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES391",0.857584237434844,0.073100812231247,"+",0.103350810565128,"Mother","s26","Tomaru&Oguma_1994","table1","Drosophila_biauraria_Drosophila_subauraria","Drosophila","Drosophila_biauraria","Drosophila_subauraria","Drosophila_biauraria_Drosophila_subauraria","Yes","sound",12.9,0.91,NA,11.8,0.36,NA,11.5,0.51,NA,11.1,0.64,NA,"10","10","8","8","8","8","10","10",300,8,8,258,NA,NA,NA,NA,-0.519356607946975,"Viable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-1.01310501062633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES392",1.12335394473009,0.0435606060606061,"+",0.261799387799149,"Mother","s27","Wells_1994","table1","Chrysoperla_johnsoni_Chrysoperla_plorabunda","Chrysoperla","Chrysoperla_plorabunda","Chrysoperla_johnsoni","Chrysoperla_johnsoni_Chrysoperla_plorabunda","Yes","sound",75.1,7.67333043730035,1.6,79.3,2.5,0.5,82.2,4.40908153700972,0.9,71.3,4.91934955049954,1.1,"10","10","10","10","10","10","10","10",23,25,24,20,NA,NA,NA,NA,-0.670619313838538,"Viable","Overlap","original study","Neuroptera","Tauber Catherine A. and Maurice J. Tauber. Inheritance of seasonal cycles in Chrysoperla (Insecta: Neuroptera). Genetics Research 49.3 (1987): 215-223.","XY","Male",-1.01310501062633,"0.54733333333333334","0.489375","0.45435714285714285","0.62551999999999996",-0.180918558009415,-0.255164077690937,"Wells_1993_Lacewings","table1",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES393",-0.0397968650755873,0.0435606060606061,"+",0.261799387799149,"Mother","s27","Wells_1994","table1","Chrysoperla_johnsoni_Chrysoperla_plorabunda","Chrysoperla","Chrysoperla_plorabunda","Chrysoperla_johnsoni","Chrysoperla_johnsoni_Chrysoperla_plorabunda","Yes","sound",59.1,3.3570820663189,0.7,64.3,3.5,0.7,67.9,2.93938769133981,0.6,58.2,2.23606797749979,0.5,"10","10","10","10","10","10","10","10",23,25,24,20,NA,NA,NA,NA,-0.726872886856328,"Viable","Overlap","original study","Neuroptera","Tauber Catherine A. and Maurice J. Tauber. Inheritance of seasonal cycles in Chrysoperla (Insecta: Neuroptera). Genetics Research 49.3 (1987): 215-223.","XY","Male",-1.01310501062633,"0.54733333333333334","0.489375","0.45435714285714285","0.62551999999999996",-0.180918558009415,-0.255164077690937,"Wells_1993_Lacewings","table1",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES394",-0.454308899483393,0.0480549199084668,"+",0.273440542552276,"Mother","s27","Wells_1994","table1","Chrysoperla_johnsoni_Chrysoperla_plorabunda","Chrysoperla","Chrysoperla_johnsoni","Chrysoperla_plorabunda","Chrysoperla_johnsoni_Chrysoperla_plorabunda","Yes","sound",46.2,4.02492235949962,0.9,43.5,6.36867333123626,1.3,37.3,5.5,1.1,40.3,3.3570820663189,0.7,"10","10","10","10","10","10","10","10",20,24,25,23,NA,NA,NA,NA,-0.540354620395691,"Viable","Overlap","original study","Neuroptera","Tauber Catherine A. and Maurice J. Tauber. Inheritance of seasonal cycles in Chrysoperla (Insecta: Neuroptera). Genetics Research 49.3 (1987): 215-223.","XY","Male",-1.01310501062633,"0.62551999999999996","0.45435714285714285","0.489375","0.54733333333333334",-0.255164077690937,-0.180918558009415,"Wells_1993_Lacewings","table1",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES395",0.653350315484359,0.0435606060606061,"+",0.261799387799149,"Mother","s27","Wells_1994","table1","Chrysoperla_johnsoni_Chrysoperla_plorabunda","Chrysoperla","Chrysoperla_plorabunda","Chrysoperla_johnsoni","Chrysoperla_johnsoni_Chrysoperla_plorabunda","Yes","sound",34.7,8.63249674196289,1.8,41.9,4.5,0.9,38.7,7.34846922834953,1.5,25.1,7.60263112349929,1.7,"10","10","10","10","10","10","10","10",23,25,24,20,NA,NA,NA,NA,-0.252396666932703,"Viable","Overlap","original study","Neuroptera","Tauber Catherine A. and Maurice J. Tauber. Inheritance of seasonal cycles in Chrysoperla (Insecta: Neuroptera). Genetics Research 49.3 (1987): 215-223.","XY","Male",-1.01310501062633,"0.54733333333333334","0.489375","0.45435714285714285","0.62551999999999996",-0.180918558009415,-0.255164077690937,"Wells_1993_Lacewings","table1",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES396",0.871670811615112,0.0480549199084668,"+",0.273440542552276,"Mother","s27","Wells_1994","table1","Chrysoperla_johnsoni_Chrysoperla_plorabunda","Chrysoperla","Chrysoperla_johnsoni","Chrysoperla_plorabunda","Chrysoperla_johnsoni_Chrysoperla_plorabunda","Yes","sound",1586,652.931849429939,146,892,274.342851191716,56,718,170,34,604,105.50829351288,22,"10","10","10","10","10","10","10","10",20,24,25,23,NA,NA,NA,NA,0.734190484401698,"Viable","Overlap","original study","Neuroptera","Tauber Catherine A. and Maurice J. Tauber. Inheritance of seasonal cycles in Chrysoperla (Insecta: Neuroptera). Genetics Research 49.3 (1987): 215-223.","XY","Male",-1.01310501062633,"0.62551999999999996","0.45435714285714285","0.489375","0.54733333333333334",-0.255164077690937,-0.180918558009415,"Wells_1993_Lacewings","table1",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES397",1.3333834568684,0.0480549199084668,"+",0.273440542552276,"Mother","s27","Wells_1994","table1","Chrysoperla_johnsoni_Chrysoperla_plorabunda","Chrysoperla","Chrysoperla_johnsoni","Chrysoperla_plorabunda","Chrysoperla_johnsoni_Chrysoperla_plorabunda","Yes","sound",3499,1350.58505840987,302,2220,357.625502446344,73,1938,335,67,1199,153.466608746007,32,"10","10","10","10","10","10","10","10",20,24,25,23,NA,NA,NA,NA,0.89657999647985,"Viable","Overlap","original study","Neuroptera","Tauber Catherine A. and Maurice J. Tauber. Inheritance of seasonal cycles in Chrysoperla (Insecta: Neuroptera). Genetics Research 49.3 (1987): 215-223.","XY","Male",-1.01310501062633,"0.62551999999999996","0.45435714285714285","0.489375","0.54733333333333334",-0.255164077690937,-0.180918558009415,"Wells_1993_Lacewings","table1",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES400",0.248807384997861,0.0290726817042606,"+",0.166973765667414,"Mother","s29","Sasabe_et.al_2007","fig2+text","Carabus_iwawakianus_Carabus_maiyasanus","Carabus","Carabus_maiyasanus","Carabus_iwawakianus","Carabus_iwawakianus_Carabus_maiyasanus","Yes","morphology",2.536,0.141,NA,1.894,0.112,NA,1.778,0.147,NA,1.274,0.065,NA,NA,NA,"33","33","13","13",NA,NA,22,96,26,33,NA,NA,NA,NA,0.308244429347041,"Viable","Overlap","original study","Coleoptera","Serrano J. and J. S. Yadav. Chromosome numbers and sex-determining mechanisms in adephagan Coleoptera. The Coleopterists' Bulletin (1984): 335-357.","XY","Male",-0.842726401101891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES401",-0.109735515657826,0.035625,"+",0.236136563967364,"Mother","s29","Sasabe_et.al_2007","fig2+text","Carabus_iwawakianus_Carabus_maiyasanus","Carabus","Carabus_iwawakianus","Carabus_maiyasanus","Carabus_iwawakianus_Carabus_maiyasanus","Yes","morphology",0.753,0.036,NA,0.482,0.04,NA,0.43,0.045,NA,0.36,0.02,NA,NA,NA,"13","13","33","33",NA,NA,33,26,96,22,NA,NA,NA,NA,0.384422853811699,"Viable","Overlap","original study","Coleoptera","Serrano J. and J. S. Yadav. Chromosome numbers and sex-determining mechanisms in adephagan Coleoptera. The Coleopterists' Bulletin (1984): 335-357.","XY","Male",-0.842726401101891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES001",-0.250938497760325,0.0301464254952627,"-",0.213758305026977,"Mother","s001","Blankers.et.al_2015","table1","Gryllus_rubens_Gryllus_texensis","Gryllus","Gryllus_rubens","Gryllus_texensis","Gryllus_rubens_Gryllus_texensis","Yes","sound",4.73,0.27,NA,4.82,0.27,NA,5.01,0.17,NA,5.18,0.22,NA,NA,NA,"12","12","12","12",NA,NA,73,22,28,44,NA,NA,NA,NA,-0.610710261681629,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",-1.15487687356537,"76.5","69.099999999999994","52.4","43.8",0.138713288352936,-0.137934851093691,"Cade_1989_Gryllus.mortality","table1",NA,"integer‚Ítexensis",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES002",0.0424419211547291,0.0307539682539683,"-",0.186091888273012,"Mother","s001","Blankers.et.al_2015","table1","Gryllus_rubens_Gryllus_texensis","Gryllus","Gryllus_texensis","Gryllus_rubens","Gryllus_rubens_Gryllus_texensis","Yes","sound",66.88,5.4,NA,61.96,2.79,NA,55.27,3.96,NA,45.34,3.86,NA,NA,NA,"12","12","12","12",NA,NA,44,28,22,73,NA,NA,NA,NA,-0.152682894910265,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",-1.15487687356537,"43.8","52.4","69.099999999999994","76.5",-0.137934851093691,0.138713288352936,"Cade_1989_Gryllus.mortality","table1",NA,"integer‚Ítexensis",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES003",0.30454715181686,0.0307539682539683,"-",0.186091888273012,"Mother","s001","Blankers.et.al_2015","table1","Gryllus_rubens_Gryllus_texensis","Gryllus","Gryllus_texensis","Gryllus_rubens","Gryllus_rubens_Gryllus_texensis","Yes","sound",0.44,0.08,NA,0.48,0.08,NA,0.46,0.08,NA,0.43,0.06,NA,NA,NA,"12","12","12","12",NA,NA,44,28,22,73,NA,NA,NA,NA,-0.715117415272314,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",-1.15487687356537,"43.8","52.4","69.099999999999994","76.5",-0.137934851093691,0.138713288352936,"Cade_1989_Gryllus.mortality","table1",NA,"integer‚Ítexensis",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES004",0.52769070313107,0.0307539682539683,"-",0.186091888273012,"Mother","s001","Blankers.et.al_2015","table1","Gryllus_rubens_Gryllus_texensis","Gryllus","Gryllus_texensis","Gryllus_rubens","Gryllus_rubens_Gryllus_texensis","Yes","sound",1.28,0.39,NA,0.68,0.35,NA,0.59,0.25,NA,0.28,0.15,NA,NA,NA,"12","12","12","12",NA,NA,44,28,22,73,NA,NA,NA,NA,1.58683630895649,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",-1.15487687356537,"43.8","52.4","69.099999999999994","76.5",-0.137934851093691,0.138713288352936,"Cade_1989_Gryllus.mortality","table1",NA,"integer‚Ítexensis",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES005",0.0168650793650794,0.0307539682539683,"-",0.186091888273012,"Mother","s001","Blankers.et.al_2015","table1","Gryllus_rubens_Gryllus_texensis","Gryllus","Gryllus_texensis","Gryllus_rubens","Gryllus_rubens_Gryllus_texensis","Yes","sound",0.62,0.11,NA,0.73,0.14,NA,0.71,0.1,NA,0.78,0.1,NA,NA,NA,"12","12","12","12",NA,NA,44,28,22,73,NA,NA,NA,NA,-0.397414701674779,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",-1.15487687356537,"43.8","52.4","69.099999999999994","76.5",-0.137934851093691,0.138713288352936,"Cade_1989_Gryllus.mortality","table1",NA,"integer‚Ítexensis",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES034",0.514455391816569,0.0526315789473684,"-",0.286786860477274,"Mother","s003","Carson.et.al_1994","table4","Drosophila_heteroneura_Drosophila_silvestris","Drosophila","Drosophila_silvestris","Drosophila_heteroneura","Drosophila_heteroneura_Drosophila_silvestris","Yes","morphology",72.85,6.33,NA,59.57,3.67,NA,45.15,2.76,NA,37.25,1.65,NA,"35","35","35","35","35","35","35","35",20,20,20,20,NA,NA,NA,NA,0.281061038436472,"Viable","Overlap","Drosophila heteroneura and Drosophila silvestris: Head Shapes, Behavior and Evolution","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-1.15487687356537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES036",0.103389023141802,0.0375,"-",0.242379135332601,"Mother","s004","Coyne_1983","table3","BGxMutant","Drosophila","Drosophila_mauritiana","Drosophila_simulans","Drosophila_mauritiana_Drosophila_simulans","Yes","morphology",462,10.9544511501033,2,NA,NA,NA,487,11.13552872566,2,477,10,2,"3","3","20","20","20","20","3","3",30,0,31,25,NA,NA,NA,NA,-0.701334813953111,"Inviable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-0.626977284049405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES038",0.843429383609286,0.0344827586206897,"-",0.234160491034691,"Mother","s004","Coyne_1983","table3","BGxSPD(wildtype)","Drosophila","Drosophila_simulans","Drosophila_mauritiana","Drosophila_mauritiana_Drosophila_simulans","Yes","morphology",12050,1007.80950580951,184,5400,651.789843431148,119,5139,471.041399454443,86,1442,202.657346276911,37,"3","3","20","20","20","20","3","3",30,30,30,30,NA,NA,NA,NA,2.5144973073563,"Viable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-0.626977284049405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES039",0,0.0344827586206897,"-",0.234160491034691,"Mother","s004","Coyne_1983","table3","BGxSPD(wildtype)","Drosophila","Drosophila_simulans","Drosophila_mauritiana","Drosophila_mauritiana_Drosophila_simulans","Yes","morphology",1263,27.3861278752583,5,487,10.9544511501033,2,497,10.9544511501033,2,462,10.9544511501033,2,"3","3","20","20","20","20","3","3",30,30,30,30,NA,NA,NA,NA,0.796142462713864,"Viable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-0.626977284049405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES040",0.810930216216328,0.0344827586206897,"-",0.234160491034691,"Mother","s004","Coyne_1983","table3","BGxSPD(wildtype)","Drosophila","Drosophila_simulans","Drosophila_mauritiana","Drosophila_mauritiana_Drosophila_simulans","Yes","morphology",9.538,0.755857129357129,0.138,11.09,1.25976188226188,0.23,10.35,0.985900603509299,0.18,3.12,0.438178046004133,0.08,"3","3","20","20","20","20","3","3",30,30,30,30,NA,NA,NA,NA,0.968032154054536,"Viable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-0.626977284049405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES041",0.154150679827259,0.0050251256281407,"-",0.0906899682117109,"Mother","s005","Coyne_1985","table1&2","BGxOxnard","Drosophila","Drosophila_mauritiana","Drosophila_simulans","Drosophila_mauritiana_Drosophila_simulans","Yes","morphology",14.31,1.13137084989848,0.08,12.33,1.01488915650922,0.1,12.1,0.989949493661167,0.07,9.86,0.848528137423857,0.06,NA,NA,NA,NA,NA,NA,NA,NA,200,103,200,200,NA,NA,NA,NA,-0.17765482610666,"Viable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-0.626977284049405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES042",2.6487490257195,0.0571895424836601,"-",0.298186778655206,"Mother","s006","Coyne_1986","table1","FC","Drosophila","Drosophila_sechellia","Drosophila_simulans","Drosophila_sechellia_Drosophila_simulans","Yes","morphology",176,44.5477272147525,10.5,NA,NA,NA,142,36.9109739779378,8.7,15.7,2.6153393661244,0.6,NA,NA,NA,NA,"8","8",NA,NA,18,NA,18,19,NA,NA,NA,NA,2.96631039795014,"Inviable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-0.0835923597226433,"NA_possibly_high","NA_possibly_high","NA_possibly_high","NA_possibly_high",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES045",0.587786664902121,0.0625,"-",0.31106402469855,"Mother","s006","Coyne_1986","table1","f^2","Drosophila","Drosophila_sechellia","Drosophila_simulans","Drosophila_sechellia_Drosophila_simulans","Yes","morphology",176,44.5477272147525,10.5,NA,NA,NA,142.7,11.1323851891677,2.7,17.9,6.18465843842649,1.5,NA,NA,NA,NA,"8","8",NA,NA,18,NA,17,17,NA,NA,NA,NA,2.76463288282495,"Inviable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-0.0835923597226433,"NA_possibly_high","NA_possibly_high","NA_possibly_high","NA_possibly_high",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES047",0.287682072451777,0.0625,"-",0.31106402469855,"Mother","s006","Coyne_1986","table1","f^2","Drosophila","Drosophila_sechellia","Drosophila_simulans","Drosophila_sechellia_Drosophila_simulans","Yes","morphology",0.779,0.0169705627484771,0.004,NA,NA,NA,0.238,0.0164924225024706,0.004,0.04,0.012369316876853,0.003,NA,NA,NA,NA,"8","8",NA,NA,18,NA,17,17,NA,NA,NA,NA,3.81569401041426,"Inviable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-0.0835923597226433,"NA_possibly_high","NA_possibly_high","NA_possibly_high","NA_possibly_high",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES048",1.23093056352992,0.056547619047619,"-",0.286786860477274,"Mother","s006","Coyne_1986","table1","RMdet","Drosophila","Drosophila_sechellia","Drosophila_simulans","Drosophila_sechellia_Drosophila_simulans","Yes","morphology",176,44.5477272147525,10.5,NA,NA,NA,142.8,35,7,26.9,10.0697567001393,2.6,NA,NA,NA,NA,"8","8",NA,NA,18,NA,25,15,NA,NA,NA,NA,2.13821524324436,"Inviable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-0.0835923597226433,"NA_possibly_high","NA_possibly_high","NA_possibly_high","NA_possibly_high",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES050",2.29180252421518,0.056547619047619,"-",0.286786860477274,"Mother","s006","Coyne_1986","table1","RMdet","Drosophila","Drosophila_sechellia","Drosophila_simulans","Drosophila_sechellia_Drosophila_simulans","Yes","morphology",0.779,0.0169705627484771,0.004,NA,NA,NA,0.269,0.035,0.007,0.048,0.00348568501158668,0.0009,NA,NA,NA,NA,"8","8",NA,NA,18,NA,25,15,NA,NA,NA,NA,3.53530543034805,"Inviable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-0.0835923597226433,"NA_possibly_high","NA_possibly_high","NA_possibly_high","NA_possibly_high",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES051",2.20664471587488,0.056547619047619,"-",0.286786860477274,"Mother","s006","Coyne_1986","table1","RM","Drosophila","Drosophila_sechellia","Drosophila_simulans","Drosophila_sechellia_Drosophila_simulans","Yes","morphology",176,44.5477272147525,10.5,NA,NA,NA,184.2,50,10,25,5.42217668469038,1.4,NA,NA,NA,NA,"8","8",NA,NA,18,NA,25,15,NA,NA,NA,NA,2.2508656248971,"Inviable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-0.0835923597226433,"NA_possibly_high","NA_possibly_high","NA_possibly_high","NA_possibly_high",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES053",2.83079902494787,0.056547619047619,"-",0.286786860477274,"Mother","s006","Coyne_1986","table1","RM","Drosophila","Drosophila_sechellia","Drosophila_simulans","Drosophila_sechellia_Drosophila_simulans","Yes","morphology",0.779,0.0169705627484771,0.004,NA,NA,NA,0.322,0.04,0.008,0.039,0.00232379000772445,0.0006,NA,NA,NA,NA,"8","8",NA,NA,18,NA,25,15,NA,NA,NA,NA,3.85462974766846,"Inviable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-0.0835923597226433,"NA_possibly_high","NA_possibly_high","NA_possibly_high","NA_possibly_high",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES054",0.762019693411987,0.0281746031746032,"-",0.212289158373585,"Mother","s008","Coyne.et.al_1991","table4","pn_j_irX85","Drosophila","Drosophila_sechellia","Drosophila_mauritiana","Drosophila_mauritiana_Drosophila_sechellia","Yes","morphology",5.311,0.523117577605647,0.086,3.104,0.371048514348191,0.061,3.323,0.450124427242068,0.074,1.746,0.21,0.035,NA,NA,NA,NA,NA,NA,NA,NA,37,37,37,36,NA,NA,NA,NA,0.960345626313119,"Viable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-0.236946287233761,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES055",0.0133026616972284,0.0281746031746032,"-",0.212289158373585,"Mother","s008","Coyne.et.al_1991","table4","pn_j_irX85","Drosophila","Drosophila_sechellia","Drosophila_mauritiana","Drosophila_mauritiana_Drosophila_sechellia","Yes","morphology",0.469,0.0182482875908947,0.003,0.487,0.0182482875908947,0.003,0.474,0.0121655250605964,0.002,0.441,0.012,0.002,NA,NA,NA,NA,NA,NA,NA,NA,37,37,37,36,NA,NA,NA,NA,-0.65580390331733,"Viable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-0.236946287233761,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
